funcid,dim,milestone,error
26,30,1,9.527053e+03
26,30,2,9.527053e+03
26,30,3,9.527053e+03
26,30,5,9.527053e+03
26,30,10,9.527053e+03
26,30,20,9.527053e+03
26,30,30,9.527053e+03
26,30,40,9.527053e+03
26,30,50,9.527053e+03
26,30,60,9.527053e+03
26,30,70,9.527053e+03
26,30,80,9.527053e+03
26,30,90,9.527053e+03
26,30,100,9.527053e+03
26,30,1,1.106360e+04
26,30,2,1.106360e+04
26,30,3,1.106360e+04
26,30,5,1.106360e+04
26,30,10,1.106360e+04
26,30,20,1.106360e+04
26,30,30,1.106360e+04
26,30,40,1.106360e+04
26,30,50,1.106360e+04
26,30,60,1.106360e+04
26,30,70,1.106360e+04
26,30,80,1.106360e+04
26,30,90,1.106360e+04
26,30,100,1.106360e+04
26,30,1,1.062678e+04
26,30,2,1.062678e+04
26,30,3,1.062678e+04
26,30,5,1.062678e+04
26,30,10,1.062678e+04
26,30,20,1.062678e+04
26,30,30,1.062678e+04
26,30,40,1.062678e+04
26,30,50,1.062678e+04
26,30,60,1.062678e+04
26,30,70,1.062678e+04
26,30,80,1.062678e+04
26,30,90,1.062678e+04
26,30,100,1.062678e+04
26,30,1,1.205484e+04
26,30,2,1.205484e+04
26,30,3,1.205484e+04
26,30,5,1.205484e+04
26,30,10,1.205484e+04
26,30,20,1.205484e+04
26,30,30,1.205484e+04
26,30,40,1.205484e+04
26,30,50,1.205484e+04
26,30,60,1.205484e+04
26,30,70,1.205484e+04
26,30,80,1.205484e+04
26,30,90,1.205484e+04
26,30,100,1.205484e+04
26,30,1,1.141929e+04
26,30,2,1.141929e+04
26,30,3,1.141929e+04
26,30,5,1.141929e+04
26,30,10,1.141929e+04
26,30,20,1.141929e+04
26,30,30,1.141929e+04
26,30,40,1.141929e+04
26,30,50,1.141929e+04
26,30,60,1.141929e+04
26,30,70,1.141929e+04
26,30,80,1.141929e+04
26,30,90,1.141929e+04
26,30,100,1.141929e+04
