funcid,dim,milestone,error
5,50,1,4.604058e+02
5,50,2,3.597134e+02
5,50,3,3.541080e+02
5,50,5,3.526827e+02
5,50,10,3.519269e+02
5,50,20,3.519269e+02
5,50,30,3.519269e+02
5,50,40,3.519269e+02
5,50,50,3.519269e+02
5,50,60,3.519269e+02
5,50,70,3.519269e+02
5,50,80,3.519269e+02
5,50,90,3.519269e+02
5,50,100,3.519269e+02
5,50,1,4.416446e+02
5,50,2,3.549294e+02
5,50,3,3.506466e+02
5,50,5,3.498066e+02
5,50,10,3.494559e+02
5,50,20,3.494559e+02
5,50,30,3.494559e+02
5,50,40,3.494559e+02
5,50,50,3.494559e+02
5,50,60,3.494559e+02
5,50,70,3.494559e+02
5,50,80,3.494559e+02
5,50,90,3.494559e+02
5,50,100,3.494559e+02
5,50,1,5.987059e+02
5,50,2,5.125647e+02
5,50,3,5.027488e+02
5,50,5,5.002817e+02
5,50,10,4.997462e+02
5,50,20,4.997462e+02
5,50,30,4.997462e+02
5,50,40,4.997462e+02
5,50,50,4.997462e+02
5,50,60,4.997462e+02
5,50,70,4.997462e+02
5,50,80,4.997462e+02
5,50,90,4.997462e+02
5,50,100,4.997462e+02
5,50,1,5.815753e+02
5,50,2,5.135888e+02
5,50,3,5.088593e+02
5,50,5,5.074918e+02
5,50,10,5.068911e+02
5,50,20,5.068911e+02
5,50,30,5.068911e+02
5,50,40,5.068911e+02
5,50,50,5.068911e+02
5,50,60,5.068911e+02
5,50,70,5.068911e+02
5,50,80,5.068911e+02
5,50,90,5.068911e+02
5,50,100,5.068911e+02
5,50,1,3.638933e+02
5,50,2,2.806002e+02
5,50,3,2.737350e+02
5,50,5,2.720809e+02
5,50,10,2.717914e+02
5,50,20,2.717914e+02
5,50,30,2.717914e+02
5,50,40,2.717914e+02
5,50,50,2.717914e+02
5,50,60,2.717914e+02
5,50,70,2.717914e+02
5,50,80,2.717914e+02
5,50,90,2.717914e+02
5,50,100,2.717914e+02
