funcid,dim,milestone,error
7,50,1,4.639494e+03
7,50,2,4.639494e+03
7,50,3,3.798343e+03
7,50,5,3.798343e+03
7,50,10,3.798343e+03
7,50,20,3.798343e+03
7,50,30,3.798343e+03
7,50,40,3.798343e+03
7,50,50,3.798343e+03
7,50,60,3.798343e+03
7,50,70,3.798343e+03
7,50,80,3.798343e+03
7,50,90,3.798343e+03
7,50,100,3.798343e+03
7,50,1,5.468356e+03
7,50,2,5.468356e+03
7,50,3,5.468356e+03
7,50,5,5.468356e+03
7,50,10,5.468356e+03
7,50,20,5.468356e+03
7,50,30,5.468356e+03
7,50,40,5.468356e+03
7,50,50,5.468356e+03
7,50,60,5.468356e+03
7,50,70,5.468356e+03
7,50,80,5.468356e+03
7,50,90,5.468356e+03
7,50,100,5.468356e+03
7,50,1,5.137392e+03
7,50,2,5.137392e+03
7,50,3,5.137392e+03
7,50,5,5.137392e+03
7,50,10,4.448031e+03
7,50,20,4.448031e+03
7,50,30,4.448031e+03
7,50,40,4.448031e+03
7,50,50,4.448031e+03
7,50,60,4.448031e+03
7,50,70,4.448031e+03
7,50,80,4.448031e+03
7,50,90,4.448031e+03
7,50,100,4.448031e+03
7,50,1,4.612551e+03
7,50,2,4.612551e+03
7,50,3,4.612551e+03
7,50,5,4.612551e+03
7,50,10,4.612551e+03
7,50,20,4.612551e+03
7,50,30,4.612551e+03
7,50,40,4.612551e+03
7,50,50,4.612551e+03
7,50,60,4.612551e+03
7,50,70,4.612551e+03
7,50,80,4.612551e+03
7,50,90,4.612551e+03
7,50,100,4.612551e+03
7,50,1,4.958262e+03
7,50,2,4.958262e+03
7,50,3,4.958262e+03
7,50,5,4.958262e+03
7,50,10,4.958262e+03
7,50,20,4.958262e+03
7,50,30,4.958262e+03
7,50,40,4.958262e+03
7,50,50,4.958262e+03
7,50,60,4.958262e+03
7,50,70,4.958262e+03
7,50,80,4.958262e+03
7,50,90,4.958262e+03
7,50,100,4.958262e+03
